Family_name,AB_1.5,AB_2.5,AB_3.5,AB_4.5,AB_5.5,AB_6.5,AB_7.6,AB_8.5,AB_9.5,AB_10.5,AB_11.5,AB_12.5,AB_13.5,AB_14.5
Acidimicrobiaceae,0.252610418,0.121513102,0.164884847,0.255420901,0.256677912,0.285549266,0.234553423,0.222386953,0.190924392,0.157734,0.20890811,0.290837015,0.165021926,0.129194406
Acidithiobacillaceae,0,0,0,0,0,0.000462054,0,0,0,0,0,0,0,0
Alteromonadaceae,0.111095681,0.102728468,0.017729553,0.010265143,0.003529952,0.000924108,0.001543115,0.019254282,0.000837388,0.000839011,0.001255961,0.045342074,0.000657458,0.001411961
AMOS1A-4113-D04,0,0,0,0,0,0.001386161,0.001543115,0.000962714,0.002512163,0.005034064,0.002930575,0,0.011834242,0
ANT06-05,0,0.00058702,0,0,0.000504279,0.001386161,0,0,0.001674775,0.002517032,0.001674614,0.000647744,0.003944747,0.014119607
Bacteriovoracaceae,0.296916434,0.364539307,0.459195433,0.386452427,0.497723181,0.419082823,0.352601691,0.242603949,0.185900066,0.285263617,0.174578521,0.46734723,0.131491575,0.181436952
BVA18,0.002645135,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacteraceae,0.067450949,0.117403964,0.030140241,0.011472806,0.00403423,0.001848215,0.003857787,0.000962714,0.000837388,0.001678021,0.000837307,0.0265575,0.000657458,0.002823921
Campylobacterales_unclassified,0,0,0.000590985,0,0,0,0,0.000962714,0.002512163,0,0.000418654,0,0,0
CCA47,0.001983851,0.013501456,0.022457434,0.076686654,0.13514672,0.109044704,0.087957533,0.111674834,0.082063993,0.148504883,0.075357635,0.107849361,0.095331392,0.115074799
Comamonadaceae,0.007935406,0.001761059,0.00118197,0.001207664,0,0.000462054,0,0,0,0,0,0.005505823,0.000657458,0.002117941
Desulfarculaceae,0.02777392,0.058701982,0.134153621,0.224021641,0.213309935,0.414924339,0.437472995,0.501574038,0.546814159,0.571366245,0.697058122,0.245818813,0.589739712,0.786462121
Desulfobacteraceae,0.587220029,1.283225322,2.251062296,2.998629302,2.726635502,3.405336722,4.586136658,5.716596228,6.348236043,6.093734269,8.108062848,1.311681414,7.032169414,8.50070951
Desulfobulbaceae,3.228387592,4.845261576,6.870792925,8.611850805,6.981235786,8.486542682,10.82186285,13.29604421,13.81187248,12.4056113,12.21254202,4.403039214,10.6297789,9.013251251
Desulfovibrionaceae,0.000661284,0.004696159,0.00236394,0.001207664,0.001008558,0.001386161,0,0.000962714,0,0,0,0.000971616,0,0
Desulfuromonadaceae,0.039015745,0.040504367,0.030140241,0.030191596,0.02975245,0.05914289,0.050151225,0.050061132,0.028471181,0.037755479,0.012978259,0.074166677,0.017751363,0.015531568
Desulfuromonadales_unclassified,0.73468632,0.61343571,0.486971733,0.419663183,0.32072132,0.245350583,0.31556694,0.398563631,0.326581197,0.240796053,0.346226466,0.31318418,0.573303266,0.228031656
