Family_name,AC_0.5,AC_1.5,AC_2.5,AC_3.5,AC_4.5,AC_6.5,AC_7.5,AC_8.5,AC_10.5,AC_11.5,AC_12.5,AC_13.5,AC_15.5,AC_16.5
Acidimicrobiaceae,1.088954886,0.18559919,0.202181238,0.333555704,0.213665068,0.179637514,0.149745332,0.186161696,0.20379458,0.128528096,0.150129657,0.124194788,0.149612052,0.073597056
Acidithiobacillaceae,0,0,0,0,0.000863293,0.000382207,0.000335752,0,0.000625137,0,0,0,0,0
Alteromonadaceae,0.590439825,0.909717242,0.086235009,0.32475863,0.365173026,0.378385403,0.744361887,0.163104972,0.141906042,0.005141124,0,0.008698468,0.01043805,0
AMOS1A-4113-D04,0,0,0,0,0,0,0,0,0,0.005141124,0,0.000483248,0.0208761,0
ANT06-05,0,0,0,0,0,0,0,0,0,0.005141124,0,0.000483248,0,0
Bacteriovoracaceae,0.37123462,0.603197368,0.3275481,0.218460659,0.219276474,0.318378829,0.414317803,0.242522576,0.268183665,0.174798211,0.163777808,0.272551985,0.337496956,0.27598896
BVA18,0.007071136,0,0,0.000733089,0.00129494,0.001146622,0.001007256,0.000853953,0,0,0,0.000483248,0,0
Campylobacteraceae,0.325272239,0.868941663,0.100003623,0.068910409,0.092804019,0.124981845,0.407602765,0.072585982,0.033132248,0.005141124,0,0.004349234,0.00347935,0
Campylobacterales_unclassified,0,0,0.002173992,0,0,0,0,0,0,0,0,0,0,0
CCA47,0,0,0.010869959,0,0.00129494,0.002293245,0.000335752,0.012809291,0.025630607,0.118245849,0.081888904,0.067654748,0.177446853,0.13799448
Comamonadaceae,0.180313958,0.005624218,0.00362332,0.021259594,0.040143134,0.022168034,0.03592545,0.013236267,0.02313006,0,0,0.004832482,0.01043805,0.009199632
Desulfarculaceae,0.014142271,0.009842381,0.115221566,0.024925042,0.032373495,0.04242503,0.024174134,0.068743195,0.113774888,0.616934862,0.51180565,0.318943813,0.57757211,0.565777369
Desulfobacteraceae,0.431339273,0.894250643,1.716728867,0.502899369,0.69236115,0.523242037,0.384100135,0.798872782,1.687869221,7.428923963,7.868158864,2.120009858,7.24748617,4.590616375
Desulfobulbaceae,1.064205911,2.473249814,6.674879525,2.631058068,3.64352897,3.212836056,1.923186688,3.30949382,5.195511518,11.69091563,13.82557663,6.682839373,8.691416443,7.948482061
Desulfovibrionaceae,0,0.002812109,0.001449328,0.000733089,0.00129494,0.000382207,0.000671504,0.000426976,0.000625137,0,0,0,0,0
Desulfuromonadaceae,0.060104653,0.101235922,0.0442045,0.089436914,0.08632932,0.060006574,0.073193907,0.145171965,0.098771606,0.015423372,0.013648151,0.095683144,0.031314151,0.013799448
Desulfuromonadales_unclassified,0.502050629,0.905499079,1.283379833,0.584272299,0.686318098,0.629495715,0.562384375,0.51237164,0.503235083,0.313608555,0.238842637,0.388531554,0.678473261,0.772769089
Ectothiorhodospiraceae,0.070711356,0.037963471,0.02029059,0.04031992,0.052660885,0.032869843,0.041633231,0.064473431,0.026255743,0.010282248,0.088712979,0.043492338,0.02435545,0.013799448
Gallionellaceae,0.502050629,0.007030272,0,0.005864716,0.02417221,0.024079071,0.035589698,0.006404646,0.007501641,0,0,0.007248723,0.00347935,0
Geobacteraceae,0.516192901,0.778954177,0.24855973,0.517561158,0.442437767,0.436098732,0.545596782,0.286928119,0.461976057,0.010282248,0.020472226,0.214078953,0.031314151,0.013799448
GR-WP33-58,0.183849526,0.227780824,0.09203232,0.466244896,0.301720975,0.324111941,0.274645026,0.215196089,0.251304973,0.010282248,0.013648151,0.070070989,0,0.013799448
