Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,77.519,81.543,80.343,74.889,83.124,82,80.987,78.49,73,72,80.132,77.104,78.143,79.782
200,132.314,145.63,146.312,133.761,151.251,144,141.374,137.421,129,135,144.181,137.732,141.653,145.705
300,177.964,200.463,205.536,186.124,210.678,197,191.797,187.277,183,189,200.701,191.187,199.695,204.869
400,219.722,250.122,261.869,232.396,265.401,246,239.105,232.216,227,230,251.872,239.902,254.297,260.386
500,256.606,294.528,314.666,276.877,315.538,293,282.517,273.546,272,279,300.463,284.641,303.302,313.74
600,292.662,336.532,364.462,319.176,363.11,337,322.095,310.521,315,324,345.466,327.814,349.167,365.107
700,324.577,376.329,413.444,357.288,408.56,374,359.855,345.557,350,365,388.291,368.668,395.721,413.607
800,355.605,413.607,460.746,396.098,452.688,413,395.151,379.948,382,397,428.833,406.563,440.642,459.705
900,384.862,449.216,505.214,433.557,493.78,451,431.205,411.984,426,439,467.911,441.825,483.176,504.64
1000,412.909,485.031,551.652,468.252,533.939,488,465.37,444.118,454,474,505.998,476.979,523.8,548.654
1100,440.209,518.381,594.536,501.764,572.057,518,497.275,473.394,489,505,542.287,511.264,564.304,591.234
1200,465.731,550.444,637.142,534.617,609.576,549,528.824,503.249,520,541,577.106,543.966,603.117,633.446
1300,490.971,581.096,678.762,566.246,644.301,578,559.08,532.018,545,572,610.06,575.96,641.428,673.207
1400,515.421,610.103,718.97,596.674,678.812,606,588.895,560.248,577,612,642.333,605.856,677.967,714.475
1500,538.935,640.087,758.617,626.922,713.488,634,615.852,586.823,607,639,674.223,636.977,714.229,754.201
1600,561.751,667.113,797.123,656.665,746.376,663,643.088,611.396,638,665,705.561,665.477,750.701,793.075
1700,584.506,694.628,836.34,684.759,778.954,689,670.395,635.918,664,699,736.677,692.612,786.095,831.645
1800,606.898,721.228,874.925,713.034,808.962,714,697.132,660.15,690,726,766.617,720.466,821.293,870.101
1900,628.023,747.535,911.015,740.796,841.088,743,722.186,684.357,718,754,794.907,747.904,855.331,907.868
2000,648.405,772.512,947.632,768.108,870.413,765,748.091,708.532,741,784,823.752,774.01,887.943,945.286
2100,668.833,797.755,983.241,795.468,899.968,791,773.592,731.214,768,810,850.945,799.386,921.279,981.464
2200,689.073,822.488,1020.051,821.672,928.303,812,799.963,752.147,790,840,878.597,825.22,953.914,1017.365
2300,708.943,846.118,1055.689,848.542,957.458,840,823.698,773.578,817,869,906.162,849.63,987.762,1053.58
2400,728.909,869.23,1089.623,874.284,986.047,863,847.239,796.311,842,895,932.376,874.112,1019.889,1089.212
2500,747.248,892.394,1124.95,898.983,1013.302,881,870.572,817.627,868,921,959.619,896.397,1051.041,1123.655
2600,764.873,914.348,1158.827,924.171,1039.223,907,893.242,837.306,892,947,985.929,919.664,1081.889,1157.903
2700,781.493,937.172,1192.021,948.472,1064.955,926,915.298,857.595,916,969,1010.477,941.897,1112.794,1192.695
2800,800.098,959.64,1223.902,972.334,1090.372,944,937.942,878.624,939,998,1035.833,964.484,1142.311,1226.72
2900,817.705,978.943,1256.208,996.451,1116.112,973,959.186,898.962,963,1024,1059.616,986.66,1171.024,1260.814
3000,834.608,999.678,1287.955,1019.766,1141.7,993,980.476,917.535,986,1046,1083.049,1008.548,1201.733,1294.986
3100,851.033,1021.075,1319.467,1042.415,1165.593,1014,1001.503,937.29,1004,1065,1106.952,1030.619,1231.17,1329.717
3200,866.907,1041.093,1352.614,1064.085,1188.593,1037,1021.917,955.512,1035,1086,1129.961,1051.329,1260.766,1362.013
3300,883.934,1061.314,1382.442,1086.31,1213.162,1054,1042.563,974.381,1048,1111,1152.695,1072.538,1289.77,1394.028
3400,900.861,1081.032,1413.977,1108.439,1236.61,1073,1063.483,992.484,1069,1136,1175.173,1093.745,1317.777,1426.549
3500,915.854,1100.186,1445.274,1130.644,1260.043,1093,1084.193,1011.354,1092,1157,1197.582,1115.162,1346.614,1459.716
3600,931.138,1119.252,1476.145,1150.916,1282.55,1109,1103.23,1029.292,1111,1176,1219.801,1135.147,1375.634,1491.632
