Number_of_sequences,AB-2-1-2,AB-2-13-14,AB-2-14-15,AB-2-16-17,AB-2-17-18,AB-2-18-19,AB-2-2-3,AB-2-3-4,AB-2-4-5,AB-2-0-1,AB-2-10-11,AB-2-12-13,AB-2-5-6,AB-2-6-7,AB-2-7-8,AB-2-8-9,AB-2-9-10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,22.292,21.616,20.064,20.967,20.568,20.521,22.137,22.374,22.517,22.853,21.209,21.001,21.751,22.723,22.609,21.967,21.079
100,81.677,76.722,69.916,76.14,72.632,71.839,79.496,81.347,82.94,84.078,74.784,76.429,81.117,83.167,83.703,82.238,76.903
200,145.937,137.888,124.144,140.308,132.13,129.69,142.451,145.509,151.351,150.143,135.239,136.159,148.857,152.256,154.152,150.802,139.013
300,202.538,193.56,174.752,196.517,185.838,180.026,197.781,204.773,212.182,207.771,190.503,189.677,208.078,214.901,217.619,213.202,196.243
400,255.801,244.652,219.447,249.474,235.819,226.331,248.707,258.426,267.706,259.875,241.358,239.81,265.032,272.274,277.59,272.837,248.881
500,305.828,292.614,262.216,298.937,282.028,271.067,295.67,308.532,320.438,308.392,289.12,284.908,317.385,326.697,332.859,327.31,298.715
600,352.207,337.562,303.301,346.528,326.769,312.149,340.081,356.204,370.346,354.467,335.336,328.303,368.61,378.241,385.727,379.168,345.364
700,396.03,382.324,343.315,392.712,369.247,352.696,384.043,401.996,417.955,397.981,378.981,370.101,416.079,428.599,436.92,429.105,390.636
800,440.386,424.693,380.713,435.917,409.849,390.144,425.061,446.4,463.602,439.311,421.122,410.151,462.195,476.349,484.986,477.911,434.782
900,482.479,465.672,418.386,477.946,448.845,426.195,465.19,488.259,508.93,479.443,462.281,448.642,507.807,522.915,531.546,526.134,477.296
1000,522.655,504.305,453.832,519.765,487.482,461.334,504.121,528.656,552.254,519.203,501.848,487.14,550.836,567.536,577.514,571.518,517.087
1100,561.669,542.054,487.589,559.096,523.544,496.347,541.635,568.666,593.531,557.587,540.448,524.898,592.432,610.465,623.182,616.173,557.161
1200,600.813,579.21,520.182,598.269,559.459,529.762,577.224,607.721,634.24,595.062,578.228,560.916,634.37,652.693,664.692,659.541,595.732
1300,637.902,614.738,553.627,637.111,595.126,562.524,611.761,645.316,675.655,630.551,614.841,594.574,675.163,694.084,706.83,702.41,632.759
1400,674.375,649.798,585.556,674.974,628.732,593.644,645.364,683.189,714.875,664.418,650.897,628.542,713.837,734.266,746.021,743.501,670.404
1500,710.93,684.834,617.458,711.588,661.565,625.505,678.678,719.72,753.216,697.714,685.823,661.754,751.684,773.418,785.792,784.528,706.874
1600,745.647,719.305,647.902,747.537,694.696,655.766,711.513,755.905,791.523,732.134,719.481,694.613,789.422,812.064,825.259,823.471,742.504
