Number_of_sequences,AC-1-0-1,AC-1-1-2,AC-1-10-11,AC-1-11-12,AC-1-12-13,AC-1-13-14,AC-1-15-16,AC-1-17-18,AC-1-18-19,AC-1-2-3,AC-1-3-4,AC-1-5-6,AC-1-6-7,AC-1-7-8,AC-1-8-9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,21.858,22.778,22.825,22.779,22.096,22.466,22.213,21.933,21.795,22.936,22.682,22.617,22.516,22.68,22.702
100,74.709,83.607,85.222,86.013,79.967,82.722,78.352,77.426,78.185,84.06,81.796,82.727,82.969,83.797,82.559
200,130.411,150.641,156.023,159.2,145.293,152.214,140.854,137.08,139.839,152.092,148.973,148.7,151.879,153.188,149.226
300,178.807,210.694,219,223.982,204.768,213.161,196.478,190.885,195.154,212.278,207.781,207.171,212.512,214.195,209.565
400,221.702,264.685,278.478,284.216,259.147,269.167,246.492,241.194,245.097,267.001,261.383,260.142,268.444,271.619,265.187
500,261.232,313.618,334.13,341.44,311.393,321.07,294.83,288.624,291.708,318.655,309.308,308.694,321.134,324.04,316.325
600,297.521,360.287,386.13,396.192,360.835,371.04,339.728,334.078,335.862,367.574,356.844,355.495,369.75,373.764,366.393
700,331.004,405.387,434.934,447.685,409.006,417.959,382.471,376.888,377.824,413.836,401.072,398.775,415.98,421.136,413.26
800,363.112,448.019,482.398,497.606,454.393,463.293,422.546,417.677,419.362,456.262,443.324,439.337,459.772,466.374,457.73
900,393.319,489.272,528.241,544.754,498.692,507.533,462.411,457.053,457.948,497.848,483.25,479.702,503.326,509.36,501.31
1000,423.533,527.771,571.237,590.892,541.031,549.247,502.089,495.441,495.947,539.213,523.028,518.119,544.02,552.597,543.606
1100,452.239,564.623,614.716,634.974,582.966,589.715,538.807,533.054,532.897,578.03,561.501,555.821,583.252,593.114,584.836
1200,479.314,600.656,655.488,678.255,623.398,628.871,575.373,569.611,568.908,615.291,597.181,591.622,622.522,632.861,625.543
1300,505.366,636.326,695.81,720.951,663.92,666.278,610.527,604.489,603.065,650.638,631.945,625.102,660.717,671.943,663.804
1400,530.695,669.405,735.133,762.238,702.863,703.229,645.467,639.257,638.046,685.697,667.05,658.954,696.561,709.335,701.189
1500,556.242,702.84,773.767,802.492,739.358,740.037,678.818,671.351,671.042,719.902,699.229,691.323,731.435,746.577,737.99
1600,580.882,735.335,811.07,842.659,776.438,775.815,710.831,704.069,704.293,752.587,732.605,723.326,766.593,781.902,773.51
1700,605.352,767.095,846.945,881.343,812.063,808.911,743.97,736.303,735.982,784.415,762.846,754.463,800.233,816.608,808.743
1800,628.726,798.167,881.024,918.437,847.788,841.617,775.436,767.102,767.248,815.763,793.627,785.128,834.447,851.216,842.872
1900,651.436,827.525,915.123,955.068,882.929,873.67,807.249,798.812,798.221,846.705,824.201,814.199,866.586,884.556,876.156
2000,674.511,857.624,948.582,991.212,916.738,905.822,837.95,828.64,828.846,877.109,854.65,843.236,897.049,917.856,908.911
2100,696.371,886.747,981.509,1027.781,949.659,937.647,868.183,858.479,857.584,907.556,883.507,871.888,927.139,950.49,942.596
2200,718.481,914.747,1013.028,1063.846,982.431,967.408,897.027,888.043,886.575,937.157,912.843,899.381,956.816,982.764,975.092
2300,739.432,942.949,1045.166,1098.377,1015.306,997.633,925.12,917.412,915.847,966.452,941.828,927.542,986.044,1013.724,1007.798
2400,760.322,970.19,1076.674,1131.717,1047.675,1025.758,953.52,945.465,944.872,994.638,969.296,954.991,1015.17,1044.307,1038.741
2500,780.127,998.092,1107.133,1164.449,1080.039,1054.47,981.271,973.962,972.769,1022.876,996.934,981.017,1043.925,1074.908,1070.356
2600,801.01,1024.787,1137.864,1197.514,1111.24,1083.668,1008.835,1001.51,999.706,1049.348,1023.666,1007.456,1072.706,1105.081,1099.821
2700,820.359,1049.536,1167.565,1229.305,1142.488,1111.807,1035.229,1029.621,1028.898,1076.54,1050.539,1033.207,1100.277,1133.627,1129.06
2800,839.064,1075.248,1197.285,1261.025,1172.218,1139.476,1062.629,1056.35,1055.387,1103.346,1076.406,1058.857,1128.584,1163.741,1158.557
2900,857.716,1100.505,1226.576,1292.181,1204.115,1165.11,1089.512,1081.822,1081.653,1129.796,1102.464,1083.56,1156.022,1192.561,1188.299
3000,876.891,1126.624,1255.685,1323.077,1235.042,1191.499,1114.602,1108.167,1108.171,1155.052,1127.988,1108.49,1182.045,1220.196,1217.265
3100,895.162,1151.82,1283.255,1352.676,1264.169,1217.595,1140.24,1134.187,1133.829,1180.543,1152.754,1132.508,1208.394,1248.262,1245.185
3200,914.036,1176.828,1310.91,1382.103,1293.559,1243.902,1166.747,1160.071,1158.193,1205.57,1177.646,1156.185,1234.087,1275.813,1273.182
3300,932.893,1201.229,1338.662,1411.253,1322.458,1268.912,1192.031,1184.774,1184.005,1230.561,1202.582,1179.288,1259.69,1303.477,1301.003
3400,950.935,1226.013,1364.927,1441.138,1351.493,1293.575,1217.616,1210.503,1209.107,1255.372,1226.278,1202.665,1284.351,1331.334,1329.434
3500,968.767,1250.915,1390.912,1470.523,1379.658,1317.911,1242.431,1236.506,1234.436,1279.84,1249.273,1226.557,1308.666,1356.887,1357.921
3600,986.706,1274.858,1417.695,1498.22,1407.255,1341.602,1266.642,1261.472,1258.849,1304.153,1272.724,1249.521,1334.237,1384.043,1386.24
3700,1004.358,1297.903,1444.344,1525.675,1435.433,1365.349,1290.766,1285.672,1282.434,1328.298,1296.856,1271.81,1358.666,1410.712,1413.967
3800,1020.802,1321.235,1469.702,1552.864,1464.233,1389.736,1315.362,1310.838,1307.483,1352.312,1320.41,1293.674,1381.728,1435.959,1441.002
3900,1038.262,1344.658,1495.065,1580.728,1491.924,1412.921,1339.49,1335.327,1331.34,1375.778,1342.793,1315.344,1405.251,1460.893,1467.933
4000,1055.284,1367.484,1521.001,1607.483,1519.834,1435.578,1362.636,1358.395,1354.774,1398.085,1365.596,1337.164,1428.661,1486.164,1495.328
4100,1072.043,1390.001,1546.312,1633.555,1546.878,1458.601,1386.834,1383.007,1377.8,1421.095,1387.777,1358.372,1452.365,1510.735,1521.958
4200,1088.673,1411.756,1570.393,1660.102,1572.619,1482.124,1410.263,1406.625,1400.618,1444.149,1409.943,1379.995,1475.04,1534.857,1547.859
4300,1105.549,1433.757,1595.731,1686.723,1598.493,1504.795,1433.035,1429.719,1423.799,1465.755,1430.887,1400.499,1498.3,1559.708,1574.238
4400,1121.99,1454.743,1619.289,1713.281,1624.576,1526.759,1455.318,1452.676,1446.013,1487.187,1452.978,1421.732,1521.486,1584.686,1600.166
4500,1137.844,1476.698,1642.868,1738.389,1650.479,1548.606,1477.423,1475.066,1468.609,1509.115,1474.68,1442.192,1543.194,1608.467,1625.819
4600,1153.735,1497.258,1665.793,1763.847,1677.323,1570.166,1500.674,1497.358,1490.754,1531.274,1495.227,1462.205,1565.766,1632.736,1651.732
4700,1170.146,1519.017,1689.205,1788.816,1703.77,1592.623,1522.249,1519.759,1513.055,1552.424,1516.026,1482.443,1587.843,1656.758,1677.217
4800,1185.568,1540.149,1711.459,1813.701,1729.316,1614.659,1544.494,1542.455,1535.579,1572.846,1537.232,1502.68,1610.11,1680.562,1702.016
4900,1201.105,1561.313,1733.848,1838.603,1754.928,1636.506,1565.636,1564.894,1557.458,1594.893,1556.66,1523.532,1632.948,1704.376,1726.578
5000,1216.57,1582.206,1756.515,1864.012,1779.614,1657.683,1587.922,1586.331,1578.996,1616.701,1576.801,1543.458,1654.346,1727.554,1750.388
5100,1231.405,1603.119,1778.823,1888.792,1803.541,1678.421,1609.703,1608.117,1600.46,1637.19,1596.797,1562.702,1675.188,1750.006,1775.091
5200,1246.254,1622.813,1801.089,1912.74,1828.769,1699.241,1631.783,1629.461,1622.961,1657.832,1616.622,1582.743,1696.11,1773.21,1798.971
5300,1261.595,1643.22,1822.938,1936.918,1852.872,1719.646,1654.276,1651.713,1644.061,1677.562,1636.3,1601.293,1717.393,1795.506,1823.414
5400,1277.045,1663.434,1844.65,1960.047,1877.58,1739.516,1675.94,1674.593,1664.809,1697.156,1656.764,1621.124,1738.891,1816.421,1846.451
5500,1292.007,1683.455,1865.516,1983.686,1901.782,1758.745,1696.902,1695.737,1685.37,1716.313,1676.986,1640.903,1759.309,1838.439,1870.279
5600,1307.695,1703.184,1887.569,2005.908,1925.298,1778.349,1717.697,1716.597,1707.714,1737.389,1696.398,1660.6,1780.051,1860.622,1893.201
5700,1322.605,1723.929,1908.113,2028.825,1948.691,1797.824,1737.51,1737.165,1727.712,1756.719,1715.73,1679.844,1800.09,1881.987,1916.906
5800,1337.143,1743.186,1927.515,2052.189,1972.626,1816.472,1757.455,1758.366,1747.475,1776.539,1734.866,1697.321,1820.308,1903.931,1939.756
5900,1351.529,1761.945,1948.225,2075.008,1996.298,1835.709,1778.127,1778.459,1769.061,1796.06,1754.149,1715.691,1840.243,1924.748,1962.632
6000,1365.607,1781.29,1969.232,2097.525,2020.042,1854.574,1798.358,1799.972,1789.83,1814.911,1773.44,1734.167,1860.507,1944.929,1986.029
6100,1380.275,1800.402,1989.669,2120.553,2043.392,1873.433,1819.01,1819.944,1811.537,1833.97,1793.446,1752.779,1880.103,1966.115,2009.04
6200,1394.503,1819.111,2010.264,2143.363,2067.052,1892.357,1839.754,1840.501,1831.818,1852.72,1812.534,1770.36,1899.129,1988.344,2031.942
6300,1408.935,1837.847,2030.412,2166.203,2090.127,1910.096,1859.2,1859.545,1852.229,1870.918,1831.458,1788.098,1918.173,2008.951,2055.301
6400,1423.121,1856.602,2050.578,2188.205,2113.415,1928.009,1879.496,1878.785,1871.837,1889.505,1850.244,1806.401,1937.634,2029.845,2078.192
6500,1436.634,1874.515,2070.294,2209.458,2137.795,1946.052,1899.066,1899.18,1891.752,1908.804,1869.385,1823.814,1957.781,2050.462,2100.591
6600,1450.796,1892.353,2090.102,2231.345,2161.119,1963.782,1918.832,1919.091,1911.336,1927.13,1888.226,1842.022,1977.365,2071.738,2122.691
6700,1465.33,1910.603,2109,2253.29,2182.506,1982.027,1938.909,1938.964,1930.597,1946.174,1906.277,1859.409,1996.901,2091.718,2144.394
6800,1479.373,1929.313,2127.623,2275.3,2205.415,2000.072,1959.613,1958.421,1950.272,1963.589,1924.587,1877.589,2015.382,2111.664,2166.375
6900,1492.663,1948.148,2146.593,2296.01,2227.953,2017.572,1978.124,1978.541,1970.512,1982.229,1942.297,1894.358,2034.251,2131.462,2188.182
7000,1506.416,1966.129,2165.336,2317.743,2250.214,2034.798,1997.449,1998.048,1989.715,2001.269,1960.333,1911.678,2053.123,2151.293,2209.683
7100,1519.581,1984.395,2185.131,2337.735,2271.555,2052.137,2016.363,2017.469,2008.164,2019.508,1977.486,1928.374,2071.05,2171.649,2231.509
7200,1531.862,2002.691,2203.462,2358.013,2293.634,2070.046,2035.452,2036.041,2025.978,2037.271,1995.829,1945.77,2089.018,2190.994,2252.769
7300,1545.002,2020.213,2221.76,2379.286,2314.97,2086.756,2054.427,2055.045,2044.215,2055.91,2013.601,1962.625,2106.915,2211.263,2272.865
7400,1557.996,2038.838,2240.352,2400.079,2337.457,2103.8,2073.459,2073.373,2063.191,2074.216,2031.267,1978.666,2125.506,2231.358,2294.351
7500,1571.321,2056.654,2258.496,2420.853,2360.18,2120.321,2093.053,2092.268,2082.236,2091.533,2050.268,1995.599,2144.264,2250.626,2315.499
7600,1583.962,2073.764,2277.386,2440.336,2382.181,2136.495,2111.341,2111.392,2101.459,2109.503,2067.213,2012.493,2161.967,2269.838,2336.045
7700,1596.999,2090.868,2295.013,2459.867,2403.953,2152.63,2129.126,2129.959,2120.021,2126.981,2084.396,2028.748,2180.195,2289.96,2356.408
7800,1610.526,2108.158,2312.589,2480.266,2425.783,2169.921,2148.447,2148.508,2138.453,2144.696,2101.225,2045.18,2198.032,2309.371,2376.849
7900,1623.783,2125.003,2330.309,2501.062,2447.172,2186.019,2167.09,2167.232,2156.263,2161.479,2118.869,2061.778,2216.341,2328.329,2397.529
8000,1636.088,2142.827,2348.342,2519.451,2468.577,2202.299,2185.261,2186.325,2174.619,2178.541,2135.712,2077.863,2233.423,2347.718,2418.183
8100,1648.386,2160.344,2366.658,2538.643,2489.465,2218.446,2203.487,2204.991,2191.855,2195.592,2153.16,2093.958,2251.083,2367.396,2438.379
8200,1661.26,2177.7,2385.15,2557.849,2509.77,2234.238,2221.457,2222.994,2210.305,2213.165,2169.732,2109.533,2268.729,2386.694,2458.853
8300,1674.207,2194.045,2401.89,2577.663,2530.893,2249.951,2239.75,2241.282,2229.028,2230.086,2186.464,2125.117,2285.818,2404.779,2479.127
8400,1687.012,2211.062,2418.622,2596.737,2551.241,2265.311,2257.118,2260.183,2247.544,2246.654,2202.704,2140.935,2302.794,2423.613,2499.456
8500,1699.191,2227.817,2435.495,2614.728,2573.107,2281.489,2275.059,2277.481,2266.189,2263.038,2219.54,2156.576,2320.41,2442.23,2520.453
8600,1711.514,2244.234,2452.144,2632.978,2593.954,2296.994,2293.762,2295.699,2284.52,2280.813,2235.384,2173.084,2337.072,2460.247,2540.878
8700,1724.194,2260.894,2468.965,2651.929,2615.242,2312.257,2310.644,2313.355,2302.078,2297.77,2251.53,2189.333,2354.551,2479.351,2560.833
8800,1736.296,2276.701,2485.469,2670.688,2636.104,2327.379,2328.426,2331.337,2319.615,2314.276,2268.413,2204.298,2372.013,2497.53,2580.626
8900,1749.148,2292.971,2502.548,2689.357,2656.256,2342.851,2346.176,2348.558,2337.334,2330.742,2285.422,2220.458,2388.502,2515.909,2599.803
9000,1761.307,2308.651,2518.76,2707.681,2676.565,2357.889,2363.955,2366.237,2354.794,2346.667,2301.834,2235.069,2405.587,2534.428,2619.657
9100,1773.251,2324.851,2535.387,2726.819,2698.084,2372.549,2382.017,2383.092,2371.8,2363.187,2318.114,2250.31,2422.258,2553.115,2639.939
9200,1784.903,2340.942,2552.294,2744.641,2718.647,2387.159,2399.284,2399.883,2388.642,2379.692,2334.7,2266.254,2438.621,2571.625,2659.959
9300,1796.312,2356.817,2568.771,2762.248,2738.58,2402.562,2416.622,2417.803,2406.376,2395.77,2350.748,2281.872,2456.089,2589.695,2679.144
9400,1808.811,2372.103,2584.27,2780.76,2758.332,2416.761,2434.503,2434.955,2423.687,2411.56,2366.964,2296.736,2473.031,2607.538,2699.068
9500,1820.686,2388.438,2600.402,2798.641,2778.692,2432.175,2452.345,2452.889,2441.079,2427.372,2383.918,2311.8,2489.277,2625.548,2718.691
9600,1832.773,2404.808,2617.107,2816.321,2798.263,2446.665,2469.689,2470.174,2457.842,2443.156,2400.06,2326.89,2505.619,2642.834,2738.65
