Number_of_sequences,AC-2-17-18,AC-2-19-20,AC-2-5-6,AC-2-9-10,AC-2-0-1,AC-2-1-2,AC-2-10-11,AC-2-11-12,AC-2-12-13,AC-2-13-14,AC-2-15-16,AC-2-16-17,AC-2-2-3,AC-2-3-4,AC-2-4-5,AC-2-6-7,AC-2-7-8,AC-2-8-9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,22.036,21.724,17.696,21.78,22.419,21.931,22.488,21.815,21.03,21.968,21.782,21.959,22.563,22.366,22.611,22.467,22.171,22.647
100,81.353,78.711,61.542,77.672,79.349,76.147,81.51,77.897,74.068,80.044,76.549,77.019,81.135,81.801,82.335,80.676,79.609,84.34
200,146.476,141.205,107.836,139.21,138.782,132.792,148.015,141.393,133.682,145.186,136.203,139.235,143.479,146.295,148.135,144.576,140.548,152.676
300,204.455,197.312,147.915,193.839,187.901,181.458,206.146,198.671,186.213,203.564,188.482,194.103,198.229,203.632,206.552,199.959,194.108,213.722
400,258.324,246.1,183.954,243.671,231.367,224.797,257.63,250.306,234.568,256.572,236.559,244.462,246.78,255.05,257.985,249.764,242.061,269.968
500,308.828,292.882,217.164,290.205,271.804,264.422,304.943,299.436,280.387,306.918,280.441,291.569,292.703,303.084,307.03,294.951,285.565,322.206
600,356.256,338.818,248.308,332.728,308.947,301.513,348.988,346.605,324.542,354.085,321.975,336.145,334.615,346.009,351.409,336.778,326.787,370.803
700,403.016,381.334,275.785,375.061,345.335,335.689,390.27,392.671,366.735,398.829,361.98,379.379,375.214,387.359,393.69,377.914,364.731,417.041
800,445.864,421.8,302.915,414.226,377.96,369.992,430.281,436.383,407.63,441.321,399.779,419.944,413.383,426.386,434.888,415.757,400.655,461.286
900,488.951,461.304,327.254,452.658,409.043,401.129,467.287,478.872,447.731,482.076,436.818,459.677,450.56,462.603,474.202,452.323,435.529,503.641
1000,529.027,498.991,351.45,488.399,439.211,430.917,504.189,519.681,485.513,520.989,471.822,498.328,486.87,498.703,510.275,487.743,469.53,544.289
1100,567.956,535.054,373.874,523.372,468.428,459.479,540.283,558.133,522.503,558.71,506.329,536.649,521.892,532.353,547.419,520.748,501.063,584.102
1200,605.911,570.521,394.721,556.72,497.316,486.851,573.65,596.412,559.502,595.183,540.394,573.035,555.093,563.51,581.213,552.912,531.951,622.633
1300,642.817,605.1,415.084,589.217,524.989,512.774,607.936,634.057,596.122,630.442,572.108,609.246,587.042,595.291,615.37,584.979,562.128,659.418
1400,678.741,639.268,435.426,620.167,550.944,539.103,641.048,669.768,630.413,665.341,603.576,642.182,618.476,626.183,647.944,615.813,590.81,695.872
1500,713.742,672.786,453.802,651.523,576.884,563.876,672.211,705.229,664.645,699.406,634.96,676.092,649.048,655.374,680.577,645.972,619.034,731.715
1600,747.791,705.112,471.34,680.506,600.917,589.257,703.586,739.099,698.256,732.88,664.869,709.017,679.813,684.568,711.881,675.028,647.408,765.853
1700,781.475,736.798,488.307,709.937,625.695,614.206,733.501,772.681,731.476,764.185,693.064,742.142,709.599,713.221,742.524,702.793,674.662,799.461
1800,813.936,768.411,505.012,737.611,648.708,637.934,763.036,805.267,764.386,796.284,722.289,772.752,737.126,740.502,771.756,730.641,700.415,832.417
1900,846.927,799.123,521.7,765.515,671.492,661.64,791.961,838.591,796.632,827.047,750.086,804.167,765.24,766.324,801.179,758.347,727.192,865.628
2000,878.173,829.417,536.591,793.327,694.899,683.73,819.76,870.373,828.8,857.021,777.557,833.947,793.156,792.148,829.597,784.812,752.836,897.222
2100,910.088,859.419,550.938,819.705,716.841,706.435,847.217,899.912,859.317,885.321,803.873,865.075,820.962,817.532,857.244,810.716,778.378,927.695
2200,941.33,888.21,566.217,846.199,738.363,728.407,873.163,930.791,889.634,915.047,830.456,894.728,847.245,842.369,884.095,836.569,803.035,956.68
2300,972.499,917.63,580.025,871.163,759.244,749.519,898.639,960.654,919.994,943.412,856.982,923.3,872.698,866.407,911.349,862.004,827.161,986.938
2400,1002.509,945.163,593.41,897.34,779.304,769.866,924.189,989.722,949.725,971.116,882.647,952.271,898.054,890.503,937.296,886.632,851.238,1015.474
2500,1031.222,973.676,606.046,922.315,798.669,789.78,949.385,1018.572,978.898,999.328,908.34,980.627,924.07,914.273,964.113,910.703,873.645,1045.122
2600,1061.242,1001.685,618.473,946.836,819.211,809.762,974.027,1046.755,1008.274,1026.487,933.524,1008.082,949.655,937.644,989.604,934.488,895.288,1073.394
2700,1089.434,1028.162,631.267,970.382,839.581,828.995,998.732,1075.82,1036.887,1053.874,957.76,1035.802,974.544,958.925,1014.494,957.816,917.068,1102.792
2800,1118.587,1053.748,643.771,993.349,858.657,848.207,1022.505,1104.893,1065.319,1079.425,981.921,1061.691,999.577,981.405,1039.909,981.447,938.821,1129.492
2900,1146.639,1081.145,655.017,1016.33,877.581,867.689,1045.65,1132.785,1093.456,1106.397,1006.192,1088.262,1024.597,1002.469,1063.732,1004.458,959.414,1156.67
3000,1174.609,1107.876,666.995,1039.526,896.63,885.84,1068.929,1160.75,1121.878,1132.24,1030.488,1115.697,1049.918,1024.096,1088.724,1028.009,981.128,1183.517
3100,1201.517,1134.267,678.456,1062.104,916.312,903.476,1092.987,1188.84,1149.339,1158.015,1053.804,1141.084,1074.536,1045.245,1112.665,1049.923,1002.043,1209.801
3200,1228.106,1160.045,689.863,1083.491,934.781,921.498,1115.789,1215.472,1177.396,1183.42,1076.481,1167.016,1097.902,1065.312,1136.642,1072.367,1022.87,1236.07
3300,1253.613,1185.688,700.494,1105.379,952.885,938.825,1139.092,1241.482,1204.639,1207.903,1100.126,1192.949,1120.842,1085.941,1158.897,1093.719,1043.085,1262.439
3400,1280.77,1211.858,711.573,1126.545,970.188,956.603,1161.633,1267.327,1232.072,1232.97,1122.207,1218.425,1144.453,1107.161,1181.622,1115.33,1063.069,1287.894
3500,1306.928,1237.287,721.85,1148.243,987.039,973.825,1184.732,1294.239,1258.415,1256.651,1144.651,1242.919,1167.597,1127.094,1204.274,1137.116,1082.735,1313.372
3600,1333.378,1260.505,731.85,1169.406,1004.661,991.432,1206.196,1319.891,1284.059,1280.603,1166.473,1267.887,1190.66,1146.824,1226.576,1157.695,1102.804,1338.068
3700,1358.842,1284.403,741.613,1190.342,1022.203,1008.293,1226.645,1345.316,1309.973,1303.409,1187.928,1292.222,1213.545,1167.355,1248.535,1179.034,1121.91,1361.997
3800,1384.886,1308.107,750.976,1211.01,1038.414,1025.211,1247.919,1370.396,1336.752,1327.068,1209.21,1316.398,1235.475,1186.579,1269.825,1199.288,1140.617,1385.979
3900,1409.146,1332.245,760.229,1231.203,1054.62,1042.255,1268.207,1395.832,1361.884,1350.564,1230.065,1340.518,1257.453,1205.152,1290.848,1219.984,1159.526,1411.099
4000,1433.88,1356.33,769.588,1250.991,1071.542,1058.452,1288.794,1420.316,1386.811,1372.562,1251.108,1364.556,1279.099,1224.076,1310.928,1239.666,1178.381,1434.335
4100,1457.792,1379.651,779.119,1271.442,1087.736,1074.65,1309.593,1444.955,1411.742,1394.474,1271.403,1387.289,1300.148,1243.193,1332.434,1259.448,1197.316,1458.556
