Fjord,Station,Rep,Depth,Hydrogen
VK,AB,A,1.5,0.776596818
VK,AB,A,4.5,0.736741965
VK,AB,A,7.5,0.876786579
VK,AB,A,10.5,0.498475856
VK,AB,A,13.5,0.685360142
VK,AB,B,1.5,0.826378795
VK,AB,B,4.5,0.713622416
VK,AB,B,7.5,0.920623385
VK,AB,B,13.5,0.597393815
VK,AB,B,16.5,0.772004199
VK,AC,A,1.5,0.512167918
VK,AC,A,4.5,0.687055879
VK,AC,A,7.5,0.703846697
VK,AC,A,13.5,0.56179849
VK,AC,A,16.5,0.722999435
VK,AC,A,19.5,1.407910409
VK,AC,A,22.5,1.072921714
VK,AC,A,25.5,0.918483527
VK,AC,B,1.5,0.447724887
VK,AC,B,4.5,0.775678295
VK,AC,B,7.5,0.624838501
VK,AC,B,10.5,0.698249758
VK,AC,B,13.5,0.485515585
VK,AC,B,16.5,0.933664406
VK,AC,B,19.5,1.795260013
VK,AC,B,22.5,0.97504845
VK,AC,B,25.5,0.74678012
KF,F,A,1.5,1.283359577
KF,F,A,4.5,0.547571463
KF,F,A,7.5,0.329326147
KF,F,A,10.5,0.70692022
KF,F,A,13.5,0.70221657
KF,F,A,16.5,0.795451793
KF,F,A,19.5,0.493005087
KF,F,A,22.5,0.962653424
KF,P,A,1.5,1.140281815
KF,P,A,4.5,0.419886547
KF,P,A,7.5,0.758408026
KF,P,A,10.5,0.649093589
KF,P,A,13.5,0.735081557
KF,P,A,19.5,0.578740714
KF,P,A,22.5,0.928365229
VK,HA,A,1.5,0.655180071
VK,HA,A,4.5,0.707808463
VK,HA,A,7.5,0.689276486
VK,HA,A,10.5,0.610394461
VK,HA,A,13.5,0.487736192
VK,HA,A,16.5,0.727894864
VK,HA,A,19.5,0.748334545
