"","Family_name","depth","abundance"
"1","JTB255_marine_benthic_group","AB_1.5",6.796013781
"2","Flavobacteriaceae","AB_1.5",6.755014185
"3","Planctomycetaceae","AB_1.5",5.961473605
"4","Family_Incertae_Sedis, Gammaproteobacteria","AB_1.5",5.407979051
"5","BD7-8_marine_group_unclassified","AB_1.5",4.571455023
"6","Gammaproteobacteria_unclassified","AB_1.5",4.226926154
"7","Sva1033","AB_1.5",3.926703302
"8","Desulfobulbaceae","AB_1.5",3.228387592
"9","Unknown_Family, Gammaproteobacteria","AB_1.5",3.135146574
"10","Bacteria_unclassified","AB_1.5",3.032647582
"11","Halieaceae","AB_1.5",2.547926545
"12","WCHB1-41_unclassified","AB_1.5",2.167027066
"13","Verrucomicrobiaceae","AB_1.5",2.123382334
"14","OM190_unclassified","AB_1.5",1.580468321
"15","Sh765B-TzT-29_unclassified","AB_1.5",1.46937264
"16","Flammeovirgaceae","AB_1.5",1.458792099
"17","Colwelliaceae","AB_1.5",1.458792099
"18","Rhodobacteraceae","AB_1.5",1.227342763
"19","Puniceicoccaceae","AB_1.5",1.157907963
"20","Spongiibacteraceae","AB_1.5",1.069957215
"21","DEV007","AB_1.5",1.062021809
"22","Psychromonadaceae","AB_1.5",1.03094147
"23","Anaerolineaceae","AB_1.5",1.018377077
"24","Alcanivoracaceae","AB_1.5",1.009119104
"25","Phycisphaerae_unclassified","AB_1.5",0.996554711
"26","Saprospiraceae","AB_1.5",0.893394436
"27","Alphaproteobacteria_unclassified","AB_1.5",0.85768511
"28","Lentisphaerae_unclassified","AB_1.5",0.84379815
"29","Proteobacteria_unclassified","AB_1.5",0.837846595
"30","Latescibacteria_unclassified","AB_1.5",0.825282203
"31","JTB255_marine_benthic_group","AB_2.5",6.367403964
"32","Flavobacteriaceae","AB_2.5",9.187447168
"33","Planctomycetaceae","AB_2.5",3.89957265
"34","Family_Incertae_Sedis, Gammaproteobacteria","AB_2.5",6.248238941
