Genus,depth,Percent_Abundance,guild
Fe/SO42-,0.5,1.935290797,-9
SRB,0.5,0.660006727,-10
FeRB,0.5,0.658482646,-8
SOB,0.5,1.129830805,-7
FeOB,0.5,0.135712245,-6
Desulfobulbus_AB1,0.5,0.393154487,2
Desulfobulbus_AB2,0.5,0.387654689,2
Desulfococcus_AB1,0.5,0.046253469,1
Desulfococcus_AB2,0.5,0.029819591,1
Sva0081_sediment_group_AB1,0.5,0.138760407,1
Sva0081_sediment_group_AB2,0.5,0.10436857,1
Arcobacter_AB1,0.5,0.138760407,4
Arcobacter_AB2,0.5,0.119278366,4
Cocleimonas_AB1,0.5,0.092506938,4
Cocleimonas_AB2,0.5,0.089458774,4
Thiobacillus_AB1,0.5,0.138760407,4
Thiobacillus_AB2,0.5,0.074548979,4
Sulfurimonas_AB1,0.5,0.161887142,4
Sulfurimonas_AB2,0.5,0.223646936,4
Sulfurovum_AB1,0.5,0.046253469,4
Sulfurovum_AB2,0.5,0.044729387,4
Mariprofundus_AB1,0.5,0.023126735,5
Mariprofundus_AB2,0.5,0.074548979,5
Deferrisoma_AB1,0.5,0.046253469,3
Deferrisoma_AB2,0.5,0.134188162,3
Geobacter_AB1,0.5,0.092506938,3
Geobacter_AB2,0.5,0.089458774,3
Geothermobacter_AB1,0.5,0.046253469,3
Geothermobacter_AB2,0.5,0.044729387,3
Geopsychrobacter_AB1,0.5,0.046253469,3
Geopsychrobacter_AB2,0.5,0.029819591,3
Sva1033_unclassified_AB1,0.5,0.647548566,2
Sva1033_unclassified_AB2,0.5,0.506933055,2
Desulfuromusa_AB1,0.5,0.069380204,3
Desulfuromusa_AB2,0.5,0.059639183,3
SEEP-SRB1_AB1,0.5,0.046253469,1
SEEP-SRB1_AB2,0.5,0.044729387,1
Desulfobacula_AB1,0.5,0.115633673,1
Desulfobacula_AB2,0.5,0.10436857,1
Desulfosarcina_AB1,0.5,0,1
Desulfosarcina_AB2,0.5,0.029819591,1
Gallionella_AB1,0.5,0.023126735,5
Gallionella_AB2,0.5,0.014909796,5
Fe/SO42-,1.5,3.191840362,-9
SRB,1.5,0.804471519,-10
FeRB,1.5,0.943192083,-8
SOB,1.5,0.9164764,-7
FeOB,1.5,0.207112159,-6
Desulfobulbus_AB1,1.5,0.490496628,2
Desulfobulbus_AB2,1.5,0.709699223,2
Desulfococcus_AB1,1.5,0.061312078,1
Desulfococcus_AB2,1.5,0.050692802,1
Sva0081_sediment_group_AB1,1.5,0.183936235,1
Sva0081_sediment_group_AB2,1.5,0.118283204,1
Arcobacter_AB1,1.5,0.081749438,4
Arcobacter_AB2,1.5,0.084488003,4
Cocleimonas_AB1,1.5,0.061312078,4
Cocleimonas_AB2,1.5,0.067590402,4
Thiobacillus_AB1,1.5,0.081749438,4
Thiobacillus_AB2,1.5,0.050692802,4
Sulfurimonas_AB1,1.5,0.224810954,4
Sulfurimonas_AB2,1.5,0.152078405,4
Sulfurovum_AB1,1.5,0.061312078,4
Sulfurovum_AB2,1.5,0.050692802,4
Mariprofundus_AB1,1.5,0.102186797,5
Mariprofundus_AB2,1.5,0.050692802,5
