Genus,depth,Percent_Abundance,guild
Fe/SO42-,0.5,1.094177413,-9
SRB,0.5,0.273544354,-10
FeRB,0.5,0.41031653,-8
SOB,0.5,0.74247753,-7
FeOB,0.5,0.039077764,-6
Desulfobulbus_AC1,0.5,0.351699883,2
Desulfobulbus_AC2,0.5,NA,2
Desulfococcus_AC1,0.5,0.039077765,1
Desulfococcus_AC2,0.5,NA,1
Sva0081_sediment_group_AC1,0.5,0.039077765,1
Sva0081_sediment_group_AC2,0.5,NA,1
Arcobacter_AC1,0.5,0.195388824,4
Arcobacter_AC2,0.5,NA,4
Cocleimonas_AC1,0.5,0.175849941,4
Cocleimonas_AC2,0.5,NA,4
Thiobacillus_AC1,0.5,0.117233294,4
Thiobacillus_AC2,0.5,NA,4
Sulfurimonas_AC1,0.5,0.214927706,4
Sulfurimonas_AC2,0.5,NA,4
Sulfurovum_AC1,0.5,0.039077765,4
Sulfurovum_AC2,0.5,NA,4
Mariprofundus_AC1,0.5,0.019538882,5
Mariprofundus_AC2,0.5,NA,5
Deferrisoma_AC1,0.5,0.175849941,3
Deferrisoma_AC2,0.5,NA,3
Geobacter_AC1,0.5,0.07815553,3
Geobacter_AC2,0.5,NA,3
Geothermobacter_AC1,0.5,0.058616647,3
Geothermobacter_AC2,0.5,NA,3
Geopsychrobacter_AC1,0.5,0.019538882,3
Geopsychrobacter_AC2,0.5,NA,3
Sva1033_unclassified_AC1,0.5,0.74247753,2
Sva1033_unclassified_AC2,0.5,NA,2
Desulfuromusa_AC1,0.5,0.07815553,3
Desulfuromusa_AC2,0.5,NA,3
SEEP-SRB1_AC1,0.5,0.039077765,1
SEEP-SRB1_AC2,0.5,NA,1
Desulfobacula_AC1,0.5,0.136772177,1
Desulfobacula_AC2,0.5,NA,1
Desulfosarcina_AC1,0.5,0.019538882,1
Desulfosarcina_AC2,0.5,NA,1
Gallionella_AC1,0.5,0.019538882,5
Gallionella_AC2,0.5,NA,5
Fe/SO42-,1.5,2.241952834,-9
SRB,1.5,0.565934393,-10
FeRB,1.5,1.099777857,-8
SOB,1.5,1.317401479,-7
FeOB,1.5,0.147803732,-6
Desulfobulbus_AC1,1.5,0.333922609,2
Desulfobulbus_AC2,1.5,0.470247784,2
Desulfococcus_AC1,1.5,0.039285013,1
Desulfococcus_AC2,1.5,0.036172906,1
Sva0081_sediment_group_AC1,1.5,0.078570026,1
Sva0081_sediment_group_AC2,1.5,0.036172906,1
Arcobacter_AC1,1.5,0.176782557,4
Arcobacter_AC2,1.5,0.235123892,4
Cocleimonas_AC1,1.5,0.137497545,4
Cocleimonas_AC2,1.5,0.108518719,4
Thiobacillus_AC1,1.5,0.117855038,4
Thiobacillus_AC2,1.5,0.090432266,4
Sulfurimonas_AC1,1.5,0.196425064,4
Sulfurimonas_AC2,1.5,0.198950986,4
Sulfurovum_AC1,1.5,0.019642506,4
Sulfurovum_AC2,1.5,0.036172906,4
Mariprofundus_AC1,1.5,0.039285013,5
Mariprofundus_AC2,1.5,0.090432266,5
Deferrisoma_AC1,1.5,0.157140051,3
Deferrisoma_AC2,1.5,0.235123892,3
Geobacter_AC1,1.5,0.078570026,3
Geobacter_AC2,1.5,0.180864532,3
