Station,Subcore,Depth,Replicate,Domain,qPCR,Average,d13C,CtoN,TOC
AC,AC.2,0.5,A,Bacteria,4.05E+06,3.68E+06,-26.329,13.4,
AC,AC.2,1.5,A,Bacteria,1.00E+11,9.05E+10,-25.546,11.46,1.6505
AC,AC.2,2.5,A,Bacteria,6.46E+10,5.62E+10,-25.637,13.08,
AC,AC.2,3.5,A,Bacteria,1.04E+09,1.23E+09,-25.914,13.84,1.6498
AC,AC.2,4.5,A,Bacteria,5.35E+08,1.46E+09,-25.66,12.23,1.6428
AC,AC.2,5.5,A,Bacteria,,,-25.868,12.5,
AC,AC.2,6.5,A,Bacteria,1.29E+10,1.09E+10,-25.966,12.74,1.6158
AC,AC.2,7.5,A,Bacteria,5.82E+09,6.11E+09,-25.804,13.48,1.4508
AC,AC.2,8.5,A,Bacteria,4.76E+09,4.62E+09,-25.854,13.36,1.3977
AC,AC.2,9.5,A,Bacteria,7.66E+07,4.43E+07,-25.861,12.85,1.5654
AC,AC.2,10.5,A,Bacteria,2.51E+07,2.34E+07,-26.364,13.88,
AC,AC.2,11.5,A,Bacteria,4.41E+09,4.41E+09,-26.029,13.22,1.4567
AC,AC.2,12.5,A,Bacteria,4.88E+08,1.58E+09,-25.853,14.16,1.4652
AC,AC.2,13.5,A,Bacteria,7.19E+09,8.07E+09,-25.96,13.04,1.5234
AC,AC.2,14.5,A,Bacteria,,,,,1.434
AC,AC.2,15.5,A,Bacteria,4.26E+06,3.17E+06,-25.883,13.73,
AC,AC.2,16.5,A,Bacteria,,,-26.192,13.71,1.5113
AC,AC.2,17.5,A,Bacteria,6.70E+09,5.89E+09,-27.09,13.58,1.423
AC,AC.2,19.5,A,Bacteria,3.95E+08,3.76E+08,-25.819,13.8,1.5154
AC,AC.2,0.5,A,Archaea,3.67E+04,3.67E+04,-26.329,13.4,
AC,AC.2,1.5,A,Archaea,3.79E+07,3.21E+07,-25.546,11.46,1.6505
AC,AC.2,2.5,A,Archaea,1.32E+07,1.27E+07,-25.637,13.08,
AC,AC.2,3.5,A,Archaea,1.60E+06,1.86E+06,-25.914,13.84,1.6498
AC,AC.2,4.5,A,Archaea,5.79E+06,5.87E+06,-25.66,12.23,1.6428
AC,AC.2,5.5,A,Archaea,,,-25.868,12.5,
AC,AC.2,6.5,A,Archaea,4.34E+06,8.32E+10,-25.966,12.74,1.6158
AC,AC.2,7.5,A,Archaea,2.51E+07,3.72E+07,-25.804,13.48,1.4508
AC,AC.2,8.5,A,Archaea,6.28E+06,5.20E+06,-25.854,13.36,1.3977
AC,AC.2,9.5,A,Archaea,1.51E+04,2.09E+04,-25.861,12.85,1.5654
AC,AC.2,10.5,A,Archaea,1.02E+06,5.99E+05,-26.364,13.88,
AC,AC.2,11.5,A,Archaea,1.05E+07,7.62E+06,-26.029,13.22,1.4567
AC,AC.2,12.5,A,Archaea,2.67E+06,2.76E+06,-25.853,14.16,1.4652
AC,AC.2,13.5,A,Archaea,3.16E+07,4.53E+07,-25.96,13.04,1.5234
AC,AC.2,14.5,A,Archaea,,,,,1.434
AC,AC.2,15.5,A,Archaea,7.52E+04,7.52E+04,-25.883,13.73,
AC,AC.2,16.5,A,Archaea,,,-26.192,13.71,1.5113
AC,AC.2,17.5,A,Archaea,7.71E+07,5.30E+07,-27.09,13.58,1.423
AC,AC.2,19.5,A,Archaea,,,-25.819,13.8,1.5154
AC,AC.2,0.5,B,Bacteria,3.31E+06,3.68E+06,-26.329,13.4,
AC,AC.2,1.5,B,Bacteria,8.09E+10,9.05E+10,-25.546,11.46,1.6505
AC,AC.2,2.5,B,Bacteria,4.78E+10,5.62E+10,-25.637,13.08,
AC,AC.2,3.5,B,Bacteria,1.41E+09,1.23E+09,-25.914,13.84,1.6498
AC,AC.2,4.5,B,Bacteria,2.38E+09,1.46E+09,-25.66,12.23,1.6428
AC,AC.2,5.5,B,Bacteria,,,-25.868,12.5,
AC,AC.2,6.5,B,Bacteria,8.93E+09,1.09E+10,-25.966,12.74,1.6158
AC,AC.2,7.5,B,Bacteria,6.40E+09,6.11E+09,-25.804,13.48,1.4508
AC,AC.2,8.5,B,Bacteria,4.49E+09,4.62E+09,-25.854,13.36,1.3977
AC,AC.2,9.5,B,Bacteria,1.21E+07,4.43E+07,-25.861,12.85,1.5654
AC,AC.2,10.5,B,Bacteria,2.17E+07,2.34E+07,-26.364,13.88,
AC,AC.2,11.5,B,Bacteria,,4.41E+09,-26.029,13.22,1.4567
AC,AC.2,12.5,B,Bacteria,2.68E+09,1.58E+09,-25.853,14.16,1.4652
AC,AC.2,13.5,B,Bacteria,8.95E+09,8.07E+09,-25.96,13.04,1.5234
AC,AC.2,14.5,B,Bacteria,,,,,1.434
AC,AC.2,15.5,B,Bacteria,2.07E+06,3.17E+06,-25.883,13.73,
AC,AC.2,16.5,B,Bacteria,,,-26.192,13.71,1.5113
AC,AC.2,17.5,B,Bacteria,5.08E+09,5.89E+09,-27.09,13.58,1.423
AC,AC.2,19.5,B,Bacteria,3.58E+08,3.76E+08,-25.819,13.8,1.5154
AC,AC.2,0.5,B,Archaea,,3.67E+04,-26.329,13.4,
AC,AC.2,1.5,B,Archaea,2.64E+07,3.21E+07,-25.546,11.46,1.6505
AC,AC.2,2.5,B,Archaea,1.23E+07,1.27E+07,-25.637,13.08,
AC,AC.2,3.5,B,Archaea,2.12E+06,1.86E+06,-25.914,13.84,1.6498
AC,AC.2,4.5,B,Archaea,5.95E+06,5.87E+06,-25.66,12.23,1.6428
AC,AC.2,5.5,B,Archaea,,,-25.868,12.5,
AC,AC.2,6.5,B,Archaea,1.66E+11,8.32E+10,-25.966,12.74,1.6158
AC,AC.2,7.5,B,Archaea,4.93E+07,3.72E+07,-25.804,13.48,1.4508
AC,AC.2,8.5,B,Archaea,4.12E+06,5.20E+06,-25.854,13.36,1.3977
AC,AC.2,9.5,B,Archaea,2.67E+04,2.09E+04,-25.861,12.85,1.5654
AC,AC.2,10.5,B,Archaea,1.75E+05,5.99E+05,-26.364,13.88,
AC,AC.2,11.5,B,Archaea,4.71E+06,7.62E+06,-26.029,13.22,1.4652
AC,AC.2,12.5,B,Archaea,2.86E+06,2.76E+06,-25.853,14.16,1.4652
AC,AC.2,13.5,B,Archaea,5.90E+07,4.53E+07,-25.96,13.04,1.5234
AC,AC.2,14.5,B,Archaea,,,,,1.434
AC,AC.2,15.5,B,Archaea,,7.52E+04,-25.883,13.73,
AC,AC.2,16.5,B,Archaea,,,-26.192,13.71,1.5113
AC,AC.2,17.5,B,Archaea,2.89E+07,5.30E+07,-27.09,13.58,1.423
AC,AC.2,19.5,B,Archaea,,,-25.819,13.8,1.5154
AC,AC.1,0.5,A,Bacteria,9.68E+07,1.26E+08,-26.329,13.4,
AC,AC.1,1.5,A,Bacteria,7.37E+09,3.71E+09,-25.546,11.46,1.6505
AC,AC.1,2.5,A,Bacteria,2.15E+09,2.15E+09,-25.637,13.08,
AC,AC.1,3.5,A,Bacteria,2.85E+09,2.82E+09,-25.914,13.84,1.6498
AC,AC.1,4.5,A,Bacteria,,,-25.66,12.23,1.6428
AC,AC.1,5.5,A,Bacteria,3.71E+08,3.83E+08,-25.868,12.5,
AC,AC.1,6.5,A,Bacteria,7.02E+08,7.14E+08,-25.966,12.74,1.6158
AC,AC.1,7.5,A,Bacteria,2.84E+09,3.14E+09,-25.804,13.48,1.4508
AC,AC.1,8.5,A,Bacteria,1.17E+10,1.10E+10,-25.854,13.36,1.3977
AC,AC.1,9.5,A,Bacteria,,,-25.861,12.85,1.5654
AC,AC.1,10.5,A,Bacteria,3.42E+07,3.40E+07,-26.364,13.88,
AC,AC.1,11.5,A,Bacteria,3.42E+07,4.36E+07,-26.029,13.22,1.4652
AC,AC.1,12.5,A,Bacteria,1.76E+09,2.26E+09,-25.853,14.16,1.4652
